candidate,law,return_low,return_high,threshold_scale,coupling,coupling_domain,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations,max_abs
konstant_lo0.15_hi0.15_s1_k0.34_abweichung,konstant,0.15,0.15,1.0,0.34,abweichung,erhoeht,53,0.02,1,0.1111111111111111,4.0969999999999995,1.1771273813631582,0.0,0,3.0
konstant_lo0.15_hi0.15_s1_k0.34_abweichung,konstant,0.15,0.15,1.0,0.34,abweichung,erhoeht,71,0.02,1,0.1111111111111111,4.356,1.220807088967278,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,nominal,11,0.02,1,0.0,nan,0.26702609959400175,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,nominal,23,0.02,1,0.0,nan,0.27707592760599603,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,nominal,37,0.02,1,0.0,nan,0.28989228568757447,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,nominal,53,0.02,1,0.0,nan,0.26773224685430663,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,nominal,71,0.02,1,0.0,nan,0.2914963128197496,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,erhoeht,11,0.02,1,0.0,nan,0.2850335652251055,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,erhoeht,23,0.02,1,0.0,nan,0.3458075094578732,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,erhoeht,37,0.02,1,0.0,nan,0.30929591458484484,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,erhoeht,53,0.02,1,0.0,nan,0.31982024003297366,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0_abweichung,konstant,0.4,0.4,1.0,0.0,abweichung,erhoeht,71,0.02,1,0.0,nan,0.34640560099970974,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,nominal,11,0.02,1,0.3333333333333333,4.1049999999999995,0.25536648900572056,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,nominal,23,0.02,1,0.3333333333333333,4.705,0.2685186581000506,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,nominal,37,0.02,1,0.3333333333333333,4.455,0.2781442226624631,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,nominal,53,0.02,1,0.3333333333333333,4.42,0.25408520193683154,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,nominal,71,0.02,1,0.3333333333333333,4.75,0.28546965371109007,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,erhoeht,11,0.02,1,0.3333333333333333,5.135,0.2606843189035315,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,erhoeht,23,0.02,1,0.0,nan,0.306803433481614,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,erhoeht,37,0.02,1,0.2777777777777778,5.488,0.2921146360287473,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,erhoeht,53,0.02,1,0.0,nan,0.26925023720974,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_absolut,konstant,0.4,0.4,1.0,0.34,absolut,erhoeht,71,0.02,1,0.05555555555555555,5.16,0.2922482092808871,0.05555555555555555,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,nominal,11,0.02,1,0.3333333333333333,3.885,0.25439094989857886,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,nominal,23,0.02,1,0.3333333333333333,3.96,0.2666211414105167,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,nominal,37,0.02,1,0.3333333333333333,4.12,0.2766168967236736,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,nominal,53,0.02,1,0.3333333333333333,4.11,0.25365054300827494,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,nominal,71,0.02,1,0.3333333333333333,4.04,0.2840733212306161,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,erhoeht,11,0.02,1,0.3333333333333333,4.19,0.25819925811191047,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,erhoeht,23,0.02,1,0.3333333333333333,3.935,0.30333879175113604,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,erhoeht,37,0.02,1,0.3333333333333333,4.38,0.28784885786927067,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,erhoeht,53,0.02,1,0.3333333333333333,4.1,0.26239906740443897,0.0,0,3.0
konstant_lo0.4_hi0.4_s1_k0.34_abweichung,konstant,0.4,0.4,1.0,0.34,abweichung,erhoeht,71,0.02,1,0.3333333333333333,4.540000000000001,0.2884849422737908,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,nominal,11,0.02,1,1.0,5.16,0.026386070511224574,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,nominal,23,0.02,1,1.0,5.22,0.027435989533252308,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,nominal,37,0.02,1,1.0,5.346,0.031054621297865764,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,nominal,53,0.02,1,1.0,5.163,0.028027540451210677,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,nominal,71,0.02,1,1.0,5.303,0.030306512420502276,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,erhoeht,11,0.02,1,1.0,5.36,0.03393167591091009,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,erhoeht,23,0.02,1,0.5555555555555556,5.263999999999999,0.0543631261766376,0.05555555555555555,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,erhoeht,37,0.02,1,0.8333333333333334,5.312,0.03755600190765404,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,erhoeht,53,0.02,1,0.5555555555555556,5.1370000000000005,0.05146984913348806,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0_abweichung,konstant,0.8,0.8,1.0,0.0,abweichung,erhoeht,71,0.02,1,0.4444444444444444,5.04,0.053593435325168894,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,nominal,11,0.02,1,1.0,5.063000000000001,0.027069353566204532,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,nominal,23,0.02,1,1.0,5.289,0.036654262743544115,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,nominal,37,0.02,1,1.0,5.263,0.03234988727504336,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,nominal,53,0.02,1,1.0,5.012,0.02781645762008675,0.0,0,3.0
