model,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
baseline_ein_zustand,nominal,401,0.02,1,1.0,2.6,0.003361361392439414,0.0,0
baseline_ein_zustand,nominal,401,0.02,0,1.0,2.58,0.0002862134790580231,0.0,0
baseline_ein_zustand,nominal,401,0.01,0,1.0,2.61,0.0003060488821957752,0.0,0
baseline_ein_zustand,nominal,431,0.02,1,1.0,2.68,0.003338468999340274,0.0,0
baseline_ein_zustand,nominal,431,0.02,0,1.0,2.68,0.00046324340933686324,0.0,0
baseline_ein_zustand,nominal,431,0.01,0,1.0,2.7,0.0004905497392335493,0.0,0
baseline_ein_zustand,nominal,463,0.02,1,1.0,2.64,0.003139611196318651,0.0,0
baseline_ein_zustand,nominal,463,0.02,0,1.0,2.64,0.000361065935769641,0.0,0
baseline_ein_zustand,nominal,463,0.01,0,1.0,2.66,0.00038438194065530885,0.0,0
baseline_ein_zustand,erhoeht,401,0.02,1,1.0,3.043,0.006901748556422992,0.0,0
baseline_ein_zustand,erhoeht,401,0.02,0,1.0,3.04,0.0018495555761663678,0.0,0
baseline_ein_zustand,erhoeht,401,0.01,0,1.0,3.0515000000000003,0.001915647682667269,0.0,0
baseline_ein_zustand,erhoeht,431,0.02,1,1.0,2.8000000000000003,0.0075642631437163686,0.0,0
baseline_ein_zustand,erhoeht,431,0.02,0,1.0,2.8000000000000003,0.0007292032776746742,0.0,0
baseline_ein_zustand,erhoeht,431,0.01,0,1.0,2.82,0.0007667260261838235,0.0,0
baseline_ein_zustand,erhoeht,463,0.02,1,1.0,2.74,0.00687406351873381,0.0,0
baseline_ein_zustand,erhoeht,463,0.02,0,1.0,2.7,0.0006478664831408949,0.0,0
baseline_ein_zustand,erhoeht,463,0.01,0,1.0,2.73,0.0006803880673378425,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,401,0.02,1,1.0,3.44,0.01017525660763131,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,401,0.02,0,1.0,3.44,0.009994681369736814,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,401,0.01,0,1.0,3.45,0.010108022084263642,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,431,0.02,1,1.0,3.46,0.010248606053197381,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,431,0.02,0,1.0,3.46,0.010058737448158233,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,431,0.01,0,1.0,3.48,0.010173973089226717,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,463,0.02,1,1.0,3.4469999999999996,0.010273289171444272,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,463,0.02,0,1.0,3.4469999999999996,0.010030455254107772,0.0,0
adaptation_r0.6_b0.25_a0.5,nominal,463,0.01,0,1.0,3.47,0.010144784413393388,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,401,0.02,1,1.0,3.6,0.010967701640229269,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,401,0.02,0,1.0,3.62,0.010540004223791814,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,401,0.01,0,1.0,3.64,0.010668324377791355,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,431,0.02,1,1.0,3.5069999999999997,0.010681358751521836,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,431,0.02,0,1.0,3.52,0.010192244002426971,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,431,0.01,0,1.0,3.54,0.010311055720354146,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,463,0.02,1,1.0,3.46,0.010976568852507964,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,463,0.02,0,1.0,3.48,0.01007637793845396,0.0,0
adaptation_r0.6_b0.25_a0.5,erhoeht,463,0.01,0,1.0,3.49,0.01019232939578015,0.0,0
adaptation_r0.6_b0.25_a1,nominal,401,0.02,1,1.0,4.48,0.01999746721538327,0.0,0
adaptation_r0.6_b0.25_a1,nominal,401,0.02,0,1.0,4.48,0.01993076077374119,0.0,0
adaptation_r0.6_b0.25_a1,nominal,401,0.01,0,1.0,4.5,0.0201529971020033,0.0,0
adaptation_r0.6_b0.25_a1,nominal,431,0.02,1,1.0,4.5,0.02013684925542043,0.0,0
adaptation_r0.6_b0.25_a1,nominal,431,0.02,0,1.0,4.5,0.020024914275745376,0.0,0
adaptation_r0.6_b0.25_a1,nominal,431,0.01,0,1.0,4.51,0.020249160882920027,0.0,0
adaptation_r0.6_b0.25_a1,nominal,463,0.02,1,1.0,4.48,0.02015006614375086,0.0,0
adaptation_r0.6_b0.25_a1,nominal,463,0.02,0,1.0,4.48,0.01998714291862203,0.0,0
adaptation_r0.6_b0.25_a1,nominal,463,0.01,0,1.0,4.51,0.02021050139996892,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,401,0.02,1,1.0,4.54,0.020692560829309547,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,401,0.02,0,1.0,4.5600000000000005,0.020625546264118666,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,401,0.01,0,1.0,4.58,0.020861972546976026,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,431,0.02,1,1.0,4.507,0.02041942273552461,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,431,0.02,0,1.0,4.5200000000000005,0.020227625010993403,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,431,0.01,0,1.0,4.53,0.020455802606493163,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,463,0.02,1,1.0,4.487,0.02049624891014775,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,463,0.02,0,1.0,4.5,0.020033822159999375,0.0,0
adaptation_r0.6_b0.25_a1,erhoeht,463,0.01,0,1.0,4.51,0.020258503785257783,0.0,0
adaptation_r0.6_b0.5_a0.5,nominal,401,0.02,1,1.0,3.64,0.011483015499027983,0.0,0
adaptation_r0.6_b0.5_a0.5,nominal,401,0.02,0,1.0,3.64,0.011366450884048737,0.0,0
adaptation_r0.6_b0.5_a0.5,nominal,401,0.01,0,1.0,3.66,0.01149695150839298,0.0,0
adaptation_r0.6_b0.5_a0.5,nominal,431,0.02,1,1.0,3.68,0.011723941651968035,0.0,0
adaptation_r0.6_b0.5_a0.5,nominal,431,0.02,0,1.0,3.68,0.011530748996059303,0.0,0
adaptation_r0.6_b0.5_a0.5,nominal,431,0.01,0,1.0,3.7,0.011664695376774892,0.0,0
