model,advantage,ci95_low,ci95_high,advantage_kontinuitaet,advantage_zeitskalen,advantage_adaptation,advantage_noise_015,advantage_noise_035,advantage_noise_055,feedback_strength,adaptation_rate,adaptation_limit
adaptation_r0.6_b0.25_a0.5,0.0055555555555555644,0.0021790544472937786,0.00893205666381735,0.00462962962962965,0.005092592592592587,0.006944444444444457,0.00740740740740743,0.0018518518518518391,0.007407407407407424,0.25,0.6,0.5
adaptation_r0.6_b0.25_a1,0.0055555555555555644,0.0021790544472937786,0.00893205666381735,0.00462962962962965,0.005092592592592587,0.006944444444444457,0.00740740740740743,0.0018518518518518391,0.007407407407407424,0.25,0.6,1.0
adaptation_r0.6_b0.5_a0.5,0.005555555555555557,0.0008405283571736154,0.010270582753937498,0.004166666666666664,0.002314814814814819,0.010185185185185186,0.007407407407407418,-6.1679056923619804e-18,0.009259259259259257,0.5,0.6,0.5
adaptation_r0.6_b0.5_a1,0.005555555555555557,0.0008405283571736154,0.010270582753937498,0.004166666666666664,0.002314814814814819,0.010185185185185186,0.007407407407407418,-6.1679056923619804e-18,0.009259259259259257,0.5,0.6,1.0
adaptation_r0.6_b0.75_a0.5,0.007561728395061728,0.002030085228169533,0.013093371561953924,0.004166666666666676,0.005555555555555542,0.012962962962962966,0.015740740740740753,-0.0013888888888888963,0.008333333333333328,0.75,0.6,0.5
adaptation_r0.6_b1_a0.5,0.008487654320987657,0.0013718370290251702,0.015603471612950144,0.004166666666666676,0.00277777777777778,0.018518518518518514,0.02037037037037038,-0.003703703703703703,0.008796296296296295,1.0,0.6,0.5
adaptation_r0.9_b0.25_a0.5,0.00540123456790124,0.0019464393220503039,0.008856029813752176,0.005092592592592599,0.004629629629629626,0.006481481481481495,0.00787037037037038,0.0004629629629629552,0.007870370370370385,0.25,0.9,0.5
adaptation_r0.9_b0.25_a1,0.00540123456790124,0.0019464393220503039,0.008856029813752176,0.005092592592592599,0.004629629629629626,0.006481481481481495,0.00787037037037038,0.0004629629629629552,0.007870370370370385,0.25,0.9,1.0
adaptation_r0.9_b0.5_a0.5,0.007870370370370375,0.002299427766253502,0.013441312974487248,0.002314814814814819,0.006944444444444444,0.014351851851851862,0.014351851851851857,0.00138888888888889,0.00787037037037038,0.5,0.9,0.5
adaptation_r0.9_b0.5_a1,0.007870370370370375,0.002299427766253502,0.013441312974487248,0.002314814814814819,0.006944444444444444,0.014351851851851862,0.014351851851851857,0.00138888888888889,0.00787037037037038,0.5,0.9,1.0
adaptation_r0.9_b0.75_a0.5,0.008179012345679014,0.0012389337349182619,0.015119090956439766,0.003240740740740754,0.004629629629629619,0.01666666666666667,0.021759259259259263,-0.005092592592592593,0.007870370370370373,0.75,0.9,0.5
adaptation_r0.9_b0.75_a1,0.008179012345679014,0.0012389337349182619,0.015119090956439766,0.003240740740740754,0.004629629629629619,0.01666666666666667,0.021759259259259263,-0.005092592592592593,0.007870370370370373,0.75,0.9,1.0
adaptation_r0.9_b1_a0.5,0.009567901234567909,0.00032287497848541846,0.0188129274906504,1.2335811384723961e-17,0.007870370370370368,0.020833333333333346,0.025462962962963003,-0.008333333333333352,0.011574074074074077,1.0,0.9,0.5
adaptation_r0.9_b1_a1,0.00972222222222223,0.0004958647242044797,0.01894857972023998,0.00046296296296297366,0.007870370370370368,0.020833333333333346,0.025925925925925963,-0.008333333333333352,0.011574074074074077,1.0,0.9,1.0
adaptation_r1.2_b0.25_a0.5,0.004475308641975313,0.0009092501234257556,0.00804136716052487,0.0032407407407407415,0.003703703703703703,0.006481481481481495,0.006018518518518534,-6.1679056923619804e-18,0.007407407407407412,0.25,1.2,0.5
adaptation_r1.2_b0.25_a1,0.004475308641975313,0.0008827070748717823,0.008067910209078844,0.0032407407407407415,0.003703703703703703,0.006481481481481495,0.006018518518518534,-6.1679056923619804e-18,0.007407407407407412,0.25,1.2,1.0
adaptation_r1.2_b0.5_a0.5,0.006172839506172836,0.0007569069877362156,0.011588772024609456,0.0018518518518518452,0.003703703703703697,0.012962962962962966,0.012037037037037044,0.000462962962962949,0.006018518518518516,0.5,1.2,0.5
adaptation_r1.2_b0.5_a1,0.006327160493827159,0.0009641121948133812,0.011690208792840936,0.0018518518518518452,0.004166666666666664,0.012962962962962966,0.012037037037037044,0.0004629629629629552,0.006481481481481477,0.5,1.2,1.0
adaptation_r1.2_b0.75_a0.5,0.009567901234567909,0.0011852108849925522,0.017950591584143263,0.000925925925925935,0.00833333333333334,0.019444444444444448,0.02546296296296299,-0.00555555555555556,0.008796296296296295,0.75,1.2,0.5
adaptation_r1.2_b0.75_a1,0.010185185185185195,0.0018648518620799047,0.018505518508290485,0.0009259259259259226,0.009259259259259264,0.020370370370370396,0.02546296296296299,-0.004629629629629638,0.009722222222222231,0.75,1.2,1.0
adaptation_r1.2_b1_a0.5,0.00848765432098766,-0.002149498569136153,0.019124807211111476,-0.0023148148148147943,0.008333333333333328,0.019444444444444448,0.020370370370370386,-0.005555555555555548,0.010648148148148148,1.0,1.2,0.5
adaptation_r1.2_b1_a1,0.00787037037037038,-0.00282780518527829,0.018568545926019052,-0.00416666666666664,0.008333333333333328,0.019444444444444448,0.019444444444444462,-0.00601851851851851,0.010185185185185186,1.0,1.2,1.0
