task,seed,noise_sigma,model,accuracy,separability_ratio,repeatability_rmse
kontinuitaet,401,0.15,baseline_ein_zustand,0.9458333333333333,1.6703870259277225,0.045980958233137185
kontinuitaet,401,0.15,adaptation_r0.6_b0.25_a0.5,0.9541666666666667,1.688395252930761,0.04465031067581968
kontinuitaet,401,0.15,adaptation_r0.6_b0.25_a1,0.9541666666666667,1.688395252930761,0.04465031067581968
kontinuitaet,401,0.15,adaptation_r0.6_b0.5_a0.5,0.95,1.7182049050284112,0.04337374994518159
kontinuitaet,401,0.15,adaptation_r0.6_b0.5_a1,0.95,1.7182049050284112,0.04337374994518159
kontinuitaet,401,0.15,adaptation_r0.6_b0.75_a0.5,0.95,1.7640961590737705,0.04219949224396819
kontinuitaet,401,0.15,adaptation_r0.6_b1_a0.5,0.9625,1.8436662629436145,0.04083728280065292
kontinuitaet,401,0.15,adaptation_r0.9_b0.25_a0.5,0.95,1.6957026780575757,0.04419326070947802
kontinuitaet,401,0.15,adaptation_r0.9_b0.25_a1,0.95,1.6961929290100248,0.044180966011945745
kontinuitaet,401,0.15,adaptation_r0.9_b0.5_a0.5,0.95,1.7410887236437373,0.04249861420894387
kontinuitaet,401,0.15,adaptation_r0.9_b0.5_a1,0.95,1.742083749737299,0.04247639376159267
kontinuitaet,401,0.15,adaptation_r0.9_b0.75_a0.5,0.9625,1.8213598956040695,0.04086657756814178
kontinuitaet,401,0.15,adaptation_r0.9_b0.75_a1,0.9625,1.822800707539429,0.04083820452301169
kontinuitaet,401,0.15,adaptation_r0.9_b1_a0.5,0.9583333333333334,1.979439293743404,0.03818091496231525
kontinuitaet,401,0.15,adaptation_r0.9_b1_a1,0.9583333333333334,1.9812026665481688,0.038153289471470245
kontinuitaet,401,0.15,adaptation_r1.2_b0.25_a0.5,0.95,1.6993064351590461,0.04387022707342341
kontinuitaet,401,0.15,adaptation_r1.2_b0.25_a1,0.95,1.7024376122786458,0.04379899850813131
kontinuitaet,401,0.15,adaptation_r1.2_b0.5_a0.5,0.95,1.7542911218844115,0.041888347613921184
kontinuitaet,401,0.15,adaptation_r1.2_b0.5_a1,0.95,1.7612592109984488,0.0417404993668154
kontinuitaet,401,0.15,adaptation_r1.2_b0.75_a0.5,0.9583333333333334,1.8672604294839663,0.03970046536139083
kontinuitaet,401,0.15,adaptation_r1.2_b0.75_a1,0.9583333333333334,1.8808315995794722,0.0394346478707178
kontinuitaet,401,0.15,adaptation_r1.2_b1_a0.5,0.9583333333333334,2.0564591708097884,0.03646415940155102
kontinuitaet,401,0.15,adaptation_r1.2_b1_a1,0.9583333333333334,2.0684696012395856,0.03629744509889223
kontinuitaet,401,0.35,baseline_ein_zustand,0.9541666666666667,1.0061931379921083,0.04558819038987488
kontinuitaet,401,0.35,adaptation_r0.6_b0.25_a0.5,0.9625,1.0436319506914977,0.044460563879797986
kontinuitaet,401,0.35,adaptation_r0.6_b0.25_a1,0.9625,1.0436319506914977,0.044460563879797986
kontinuitaet,401,0.35,adaptation_r0.6_b0.5_a0.5,0.9583333333333334,1.0743010783980564,0.04338985723846626
kontinuitaet,401,0.35,adaptation_r0.6_b0.5_a1,0.9583333333333334,1.0743010783980564,0.04338985723846626
kontinuitaet,401,0.35,adaptation_r0.6_b0.75_a0.5,0.9541666666666667,1.0829797095488447,0.04236909024348604
kontinuitaet,401,0.35,adaptation_r0.6_b1_a0.5,0.9375,1.0732140729925332,0.04121427650569443
kontinuitaet,401,0.35,adaptation_r0.9_b0.25_a0.5,0.9625,1.0553959407547135,0.04405773590393348
kontinuitaet,401,0.35,adaptation_r0.9_b0.25_a1,0.9625,1.055755256682386,0.04404265550578313
kontinuitaet,401,0.35,adaptation_r0.9_b0.5_a0.5,0.9583333333333334,1.0857366577822865,0.04260773493595003
kontinuitaet,401,0.35,adaptation_r0.9_b0.5_a1,0.9583333333333334,1.0864820076486033,0.04257912461019327
kontinuitaet,401,0.35,adaptation_r0.9_b0.75_a0.5,0.9375,1.0884357287105035,0.04112567191365992
kontinuitaet,401,0.35,adaptation_r0.9_b0.75_a1,0.9375,1.0896284842025314,0.04108217864214071
kontinuitaet,401,0.35,adaptation_r0.9_b1_a0.5,0.9375,1.043375137117229,0.03891113218823427
kontinuitaet,401,0.35,adaptation_r0.9_b1_a1,0.9375,1.0451253416886073,0.038847195470932586
kontinuitaet,401,0.35,adaptation_r1.2_b0.25_a0.5,0.9583333333333334,1.0631268427201532,0.043752732841969504
kontinuitaet,401,0.35,adaptation_r1.2_b0.25_a1,0.9625,1.0647636982787372,0.04368839433981677
kontinuitaet,401,0.35,adaptation_r1.2_b0.5_a0.5,0.9541666666666667,1.0948209284042456,0.0419988143262594
kontinuitaet,401,0.35,adaptation_r1.2_b0.5_a1,0.9541666666666667,1.0980446196379245,0.041887661559530574
kontinuitaet,401,0.35,adaptation_r1.2_b0.75_a0.5,0.9333333333333333,1.0816448779969745,0.040044723498769315
kontinuitaet,401,0.35,adaptation_r1.2_b0.75_a1,0.9333333333333333,1.0879348718497734,0.03982552349465515
kontinuitaet,401,0.35,adaptation_r1.2_b1_a0.5,0.9291666666666667,1.0337465685406042,0.03690357784557965
kontinuitaet,401,0.35,adaptation_r1.2_b1_a1,0.925,1.042714700353916,0.036591720864566295
kontinuitaet,401,0.55,baseline_ein_zustand,0.8916666666666667,0.8906691380577307,0.049925315016999816
kontinuitaet,401,0.55,adaptation_r0.6_b0.25_a0.5,0.8958333333333334,0.9088922334561705,0.048669572243664576
kontinuitaet,401,0.55,adaptation_r0.6_b0.25_a1,0.8958333333333334,0.9088922334561705,0.048669572243664576
kontinuitaet,401,0.55,adaptation_r0.6_b0.5_a0.5,0.8958333333333334,0.9289673711262632,0.047348507341525445
kontinuitaet,401,0.55,adaptation_r0.6_b0.5_a1,0.8958333333333334,0.9289673711262632,0.047348507341525445
kontinuitaet,401,0.55,adaptation_r0.6_b0.75_a0.5,0.8958333333333334,0.9469051843705022,0.04599629243579146
kontinuitaet,401,0.55,adaptation_r0.6_b1_a0.5,0.9,0.9662366246725248,0.04450299036621855
kontinuitaet,401,0.55,adaptation_r0.9_b0.25_a0.5,0.8916666666666667,0.912321348407755,0.048248889099809074
kontinuitaet,401,0.55,adaptation_r0.9_b0.25_a1,0.8916666666666667,0.912385256030209,0.04824496456419421
kontinuitaet,401,0.55,adaptation_r0.9_b0.5_a0.5,0.8916666666666667,0.9351065865381608,0.046459190881074565
kontinuitaet,401,0.55,adaptation_r0.9_b0.5_a1,0.8916666666666667,0.9352407393828621,0.04645121740196694
kontinuitaet,401,0.55,adaptation_r0.9_b0.75_a0.5,0.8958333333333334,0.9563669593114098,0.044546484382789436
kontinuitaet,401,0.55,adaptation_r0.9_b0.75_a1,0.8958333333333334,0.9565644142452443,0.04453444854486081
kontinuitaet,401,0.55,adaptation_r0.9_b1_a0.5,0.8916666666666667,0.983055048206425,0.0421654588405418
kontinuitaet,401,0.55,adaptation_r0.9_b1_a1,0.8916666666666667,0.9832425019104906,0.042154601199221334
kontinuitaet,401,0.55,adaptation_r1.2_b0.25_a0.5,0.8916666666666667,0.912487333311281,0.04797549915741371
kontinuitaet,401,0.55,adaptation_r1.2_b0.25_a1,0.8916666666666667,0.9137498347372607,0.0479127504921047
kontinuitaet,401,0.55,adaptation_r1.2_b0.5_a0.5,0.8875,0.9338100570183556,0.045857487988795805
kontinuitaet,401,0.55,adaptation_r1.2_b0.5_a1,0.8875,0.9363841194165954,0.04573179596658296
kontinuitaet,401,0.55,adaptation_r1.2_b0.75_a0.5,0.8875,0.9568693828033873,0.04345129145055072
kontinuitaet,401,0.55,adaptation_r1.2_b0.75_a1,0.8875,0.9609412522082924,0.043266722923737864
kontinuitaet,401,0.55,adaptation_r1.2_b1_a0.5,0.8791666666666667,0.9863191187164457,0.04039257603275493
kontinuitaet,401,0.55,adaptation_r1.2_b1_a1,0.8791666666666667,0.9890800152711887,0.04027616692081414
kontinuitaet,431,0.15,baseline_ein_zustand,0.9291666666666667,1.1069453632372641,0.04934227929465848
kontinuitaet,431,0.15,adaptation_r0.6_b0.25_a0.5,0.9333333333333333,1.1184278414082025,0.04814012310186766
kontinuitaet,431,0.15,adaptation_r0.6_b0.25_a1,0.9333333333333333,1.1184278414082025,0.04814012310186766
kontinuitaet,431,0.15,adaptation_r0.6_b0.5_a0.5,0.9291666666666667,1.1363044761076608,0.04676640094275452
kontinuitaet,431,0.15,adaptation_r0.6_b0.5_a1,0.9291666666666667,1.1363044761076608,0.04676640094275452
kontinuitaet,431,0.15,adaptation_r0.6_b0.75_a0.5,0.9291666666666667,1.156102732930806,0.04512960194690843
kontinuitaet,431,0.15,adaptation_r0.6_b1_a0.5,0.9333333333333333,1.166219394736609,0.04344122456289421
kontinuitaet,431,0.15,adaptation_r0.9_b0.25_a0.5,0.9333333333333333,1.1217316369620836,0.04768472211175333
kontinuitaet,431,0.15,adaptation_r0.9_b0.25_a1,0.9333333333333333,1.122029298690327,0.04767191468446197
kontinuitaet,431,0.15,adaptation_r0.9_b0.5_a0.5,0.9291666666666667,1.145861818316371,0.045714395402775304
kontinuitaet,431,0.15,adaptation_r0.9_b0.5_a1,0.9291666666666667,1.1464672427018627,0.045688735966368195
kontinuitaet,431,0.15,adaptation_r0.9_b0.75_a0.5,0.9333333333333333,1.166540266834397,0.0434290628354379
kontinuitaet,431,0.15,adaptation_r0.9_b0.75_a1,0.9333333333333333,1.167561607821523,0.04339080630380511
kontinuitaet,431,0.15,adaptation_r0.9_b1_a0.5,0.9291666666666667,1.1585274328175577,0.04108313930528887
kontinuitaet,431,0.15,adaptation_r0.9_b1_a1,0.9333333333333333,1.160039917709959,0.04103405387199058
kontinuitaet,431,0.15,adaptation_r1.2_b0.25_a0.5,0.9291666666666667,1.1220739538554723,0.047374247635985696
kontinuitaet,431,0.15,adaptation_r1.2_b0.25_a1,0.9291666666666667,1.1243294199892782,0.04727918003566511
kontinuitaet,431,0.15,adaptation_r1.2_b0.5_a0.5,0.9291666666666667,1.148233934725577,0.044975569355430754
kontinuitaet,431,0.15,adaptation_r1.2_b0.5_a1,0.9291666666666667,1.1530385561554357,0.04478386204336262
kontinuitaet,431,0.15,adaptation_r1.2_b0.75_a0.5,0.9291666666666667,1.1627070387036658,0.04227624197024462
kontinuitaet,431,0.15,adaptation_r1.2_b0.75_a1,0.9291666666666667,1.1711915791418483,0.041984445355211966
kontinuitaet,431,0.15,adaptation_r1.2_b1_a0.5,0.9333333333333333,1.1409787988509235,0.039253111317417246
kontinuitaet,431,0.15,adaptation_r1.2_b1_a1,0.9291666666666667,1.1520688478072199,0.038922380828116464
kontinuitaet,431,0.35,baseline_ein_zustand,0.9625,1.069697684114673,0.0480823704087353
kontinuitaet,431,0.35,adaptation_r0.6_b0.25_a0.5,0.9666666666666667,1.0692306898011301,0.04714309790310042
kontinuitaet,431,0.35,adaptation_r0.6_b0.25_a1,0.9666666666666667,1.069230702091673,0.047143096785762624
kontinuitaet,431,0.35,adaptation_r0.6_b0.5_a0.5,0.9666666666666667,1.0760411893133217,0.04628468861753501
kontinuitaet,431,0.35,adaptation_r0.6_b0.5_a1,0.9666666666666667,1.0760412121858793,0.046284686593982965
kontinuitaet,431,0.35,adaptation_r0.6_b0.75_a0.5,0.9666666666666667,1.0990501260837788,0.04537192831856661
kontinuitaet,431,0.35,adaptation_r0.6_b1_a0.5,0.9583333333333334,1.1421582741898895,0.04419173426874101
kontinuitaet,431,0.35,adaptation_r0.9_b0.25_a0.5,0.9666666666666667,1.0693276421913473,0.04682812531264855
kontinuitaet,431,0.35,adaptation_r0.9_b0.25_a1,0.9666666666666667,1.0697094424616853,0.04680273660086634
kontinuitaet,431,0.35,adaptation_r0.9_b0.5_a0.5,0.9625,1.0840193915401724,0.04565512652980022
kontinuitaet,431,0.35,adaptation_r0.9_b0.5_a1,0.9625,1.0848386097613398,0.04559972569982677
kontinuitaet,431,0.35,adaptation_r0.9_b0.75_a0.5,0.9583333333333334,1.1282040064114147,0.04428104619469955
kontinuitaet,431,0.35,adaptation_r0.9_b0.75_a1,0.9583333333333334,1.1296100652420524,0.04418809593203228
kontinuitaet,431,0.35,adaptation_r0.9_b1_a0.5,0.95,1.2177077799077658,0.04188018233598018
kontinuitaet,431,0.35,adaptation_r0.9_b1_a1,0.95,1.2193702451011954,0.041782530851431354
kontinuitaet,431,0.35,adaptation_r1.2_b0.25_a0.5,0.9666666666666667,1.0677576421987818,0.046659215592045875
kontinuitaet,431,0.35,adaptation_r1.2_b0.25_a1,0.9666666666666667,1.0702242831465922,0.04651402541765085
kontinuitaet,431,0.35,adaptation_r1.2_b0.5_a0.5,0.9666666666666667,1.0868555294893234,0.04534117794103468
kontinuitaet,431,0.35,adaptation_r1.2_b0.5_a1,0.9666666666666667,1.092344478309296,0.04501423576450475
kontinuitaet,431,0.35,adaptation_r1.2_b0.75_a0.5,0.9541666666666667,1.1466428806206437,0.04355481276536405
kontinuitaet,431,0.35,adaptation_r1.2_b0.75_a1,0.95,1.156608540067454,0.042982716804117915
kontinuitaet,431,0.35,adaptation_r1.2_b1_a0.5,0.9541666666666667,1.280370954127446,0.04013808671815383
kontinuitaet,431,0.35,adaptation_r1.2_b1_a1,0.9541666666666667,1.2923348083821007,0.03964584094477238
kontinuitaet,431,0.55,baseline_ein_zustand,0.8833333333333333,1.0239049345636497,0.04404963695095873
kontinuitaet,431,0.55,adaptation_r0.6_b0.25_a0.5,0.8916666666666667,1.0479168185252332,0.042605865087177106
kontinuitaet,431,0.55,adaptation_r0.6_b0.25_a1,0.8916666666666667,1.0479168185252332,0.042605865087177106
kontinuitaet,431,0.55,adaptation_r0.6_b0.5_a0.5,0.9083333333333333,1.0691077711992931,0.0411958482620503
kontinuitaet,431,0.55,adaptation_r0.6_b0.5_a1,0.9083333333333333,1.0691077711992931,0.0411958482620503
kontinuitaet,431,0.55,adaptation_r0.6_b0.75_a0.5,0.9041666666666667,1.0890970449662734,0.03982889242681205
kontinuitaet,431,0.55,adaptation_r0.6_b1_a0.5,0.9041666666666667,1.1094263992067455,0.038501468063632006
kontinuitaet,431,0.55,adaptation_r0.9_b0.25_a0.5,0.9,1.0554015862695032,0.042106505898993826
kontinuitaet,431,0.55,adaptation_r0.9_b0.25_a1,0.9,1.0556214317560615,0.04209815961528751
kontinuitaet,431,0.55,adaptation_r0.9_b0.5_a0.5,0.9,1.0836363807636245,0.040214095012814435
kontinuitaet,431,0.55,adaptation_r0.9_b0.5_a1,0.9,1.0840514560915941,0.04019932713085054
kontinuitaet,431,0.55,adaptation_r0.9_b0.75_a0.5,0.9041666666666667,1.1132602848349327,0.038369784549444556
kontinuitaet,431,0.55,adaptation_r0.9_b0.75_a1,0.9041666666666667,1.1137049693428758,0.038354790278457424
kontinuitaet,431,0.55,adaptation_r0.9_b1_a0.5,0.9041666666666667,1.126824209219409,0.03693492721377698
kontinuitaet,431,0.55,adaptation_r0.9_b1_a1,0.9041666666666667,1.1272035233352684,0.03692268133790773
kontinuitaet,431,0.55,adaptation_r1.2_b0.25_a0.5,0.9,1.0601847658441825,0.04173835318802291
kontinuitaet,431,0.55,adaptation_r1.2_b0.25_a1,0.9,1.0614478922686308,0.041689006854756606
kontinuitaet,431,0.55,adaptation_r1.2_b0.5_a0.5,0.9,1.094526040465533,0.039465585742370676
kontinuitaet,431,0.55,adaptation_r1.2_b0.5_a1,0.9,1.0969562969346256,0.039378266561587195
kontinuitaet,431,0.55,adaptation_r1.2_b0.75_a0.5,0.9041666666666667,1.129502633451026,0.03731503334972571
kontinuitaet,431,0.55,adaptation_r1.2_b0.75_a1,0.9041666666666667,1.1325305805749004,0.037218984544441815
kontinuitaet,431,0.55,adaptation_r1.2_b1_a0.5,0.9041666666666667,1.128318934739935,0.03576522808089624
kontinuitaet,431,0.55,adaptation_r1.2_b1_a1,0.9,1.1309929670146066,0.035688162600154234
kontinuitaet,463,0.15,baseline_ein_zustand,0.9458333333333333,1.306329886543569,0.048978033566025786
kontinuitaet,463,0.15,adaptation_r0.6_b0.25_a0.5,0.9416666666666667,1.3102105528445827,0.04793776911187222
kontinuitaet,463,0.15,adaptation_r0.6_b0.25_a1,0.9416666666666667,1.3102105528445827,0.04793776911187222
kontinuitaet,463,0.15,adaptation_r0.6_b0.5_a0.5,0.9416666666666667,1.317184087436698,0.0468991926133247
kontinuitaet,463,0.15,adaptation_r0.6_b0.5_a1,0.9416666666666667,1.317184087436698,0.0468991926133247
kontinuitaet,463,0.15,adaptation_r0.6_b0.75_a0.5,0.9541666666666667,1.318195307584521,0.04582592895833698
kontinuitaet,463,0.15,adaptation_r0.6_b1_a0.5,0.9583333333333334,1.2759912326853844,0.044334916245538335
kontinuitaet,463,0.15,adaptation_r0.9_b0.25_a0.5,0.9458333333333333,1.3102794137023739,0.04757330792818522
kontinuitaet,463,0.15,adaptation_r0.9_b0.25_a1,0.9458333333333333,1.3103391086016318,0.047570772476971154
kontinuitaet,463,0.15,adaptation_r0.9_b0.5_a0.5,0.95,1.31850930876794,0.046182433831642965
kontinuitaet,463,0.15,adaptation_r0.9_b0.5_a1,0.95,1.318620153141853,0.04617789051327366
kontinuitaet,463,0.15,adaptation_r0.9_b0.75_a0.5,0.9583333333333334,1.2869427879042024,0.04443372401091404
kontinuitaet,463,0.15,adaptation_r0.9_b0.75_a1,0.9583333333333334,1.287095154207363,0.044427610830028365
kontinuitaet,463,0.15,adaptation_r0.9_b1_a0.5,0.9541666666666667,1.209768564637184,0.041751526430695914
kontinuitaet,463,0.15,adaptation_r0.9_b1_a1,0.9541666666666667,1.209961045654541,0.04174386799424361
kontinuitaet,463,0.15,adaptation_r1.2_b0.25_a0.5,0.9416666666666667,1.3086709513272683,0.047314362176612744
kontinuitaet,463,0.15,adaptation_r1.2_b0.25_a1,0.9416666666666667,1.3097243217501338,0.047271573093795365
kontinuitaet,463,0.15,adaptation_r1.2_b0.5_a0.5,0.95,1.3158553034776608,0.04564853855266181
kontinuitaet,463,0.15,adaptation_r1.2_b0.5_a1,0.95,1.318004941654667,0.045560859321076994
kontinuitaet,463,0.15,adaptation_r1.2_b0.75_a0.5,0.9625,1.2494669098972502,0.043294109496720294
kontinuitaet,463,0.15,adaptation_r1.2_b0.75_a1,0.9625,1.252930326597329,0.043150894503926604
kontinuitaet,463,0.15,adaptation_r1.2_b1_a0.5,0.9583333333333334,1.1700165802672895,0.03979956118317299
kontinuitaet,463,0.15,adaptation_r1.2_b1_a1,0.9541666666666667,1.1737070584437748,0.03967194981051077
kontinuitaet,463,0.35,baseline_ein_zustand,0.9375,1.1872729309760284,0.0494867253188549
kontinuitaet,463,0.35,adaptation_r0.6_b0.25_a0.5,0.9416666666666667,1.204272006913987,0.0483948581075512
