model,family,mean_accuracy,advantage,ci95_low,ci95_high,advantage_noise_015,advantage_noise_035,advantage_noise_055,weight_sum
anisotrop_horizontal_d0.34_t0,anisotrop,0.9032407407407407,-0.022685185185185204,-0.030277100240772167,-0.01509327012959824,-0.019444444444444486,-0.013888888888888914,-0.03472222222222221,0.68
anisotrop_horizontal_d0.34_t0.17,anisotrop,0.8935185185185186,-0.03240740740740741,-0.04647222222222222,-0.018342592592592605,-0.022222222222222254,-0.018055555555555564,-0.05694444444444443,1.02
anisotrop_horizontal_d0.68_t0,anisotrop,0.8916666666666667,-0.03425925925925926,-0.04679166923203191,-0.02172684928648661,-0.026388888888888906,-0.020833333333333332,-0.055555555555555546,1.36
anisotrop_horizontal_d0.68_t0.17,anisotrop,0.8777777777777778,-0.04814814814814815,-0.07064197065021433,-0.025654325646081978,-0.033333333333333326,-0.022222222222222216,-0.0888888888888889,1.7000000000000002
anisotrop_vertikal_d0.34_t0,anisotrop,0.9018518518518517,-0.0240740740740741,-0.037805639843901076,-0.010342508304247124,-0.013888888888888914,-0.01250000000000003,-0.04583333333333336,0.68
anisotrop_vertikal_d0.34_t0.17,anisotrop,0.8898148148148147,-0.03611111111111113,-0.05406539977653815,-0.018156822445684104,-0.02083333333333337,-0.01666666666666668,-0.07083333333333335,1.02
anisotrop_vertikal_d0.68_t0,anisotrop,0.8824074074074075,-0.04351851851851854,-0.06412086349805164,-0.022916173538985438,-0.03750000000000001,-0.015277777777777798,-0.07777777777777779,1.36
anisotrop_vertikal_d0.68_t0.17,anisotrop,0.8726851851851852,-0.05324074074074075,-0.07592592592592594,-0.030555555555555558,-0.04722222222222224,-0.019444444444444448,-0.09305555555555556,1.7
gerichtet_oben_d0.34_g0,gerichtet,0.9041666666666666,-0.02175925925925928,-0.031553376149085405,-0.011965142369433157,-0.015277777777777798,-0.009722222222222262,-0.04027777777777778,0.68
gerichtet_oben_d0.34_g0.17,gerichtet,0.8972222222222224,-0.0287037037037037,-0.043391375717698,-0.014016031689709399,-0.015277777777777798,-0.013888888888888914,-0.05694444444444439,0.8500000000000001
gerichtet_oben_d0.68_g0,gerichtet,0.8916666666666667,-0.03425925925925926,-0.05017773027499245,-0.018340788243526068,-0.026388888888888906,-0.015277777777777798,-0.06111111111111108,1.02
gerichtet_oben_d0.68_g0.17,gerichtet,0.8865740740740741,-0.039351851851851846,-0.058797700566576,-0.01990600313712769,-0.029166666666666674,-0.015277777777777798,-0.07361111111111107,1.19
gerichtet_unten_d0.34_g0,gerichtet,0.8981481481481483,-0.02777777777777779,-0.043650924602634436,-0.011904630952921144,-0.01250000000000003,-0.01250000000000003,-0.05833333333333331,0.68
gerichtet_unten_d0.34_g0.17,gerichtet,0.8972222222222224,-0.028703703703703714,-0.04436798423296243,-0.013039423174444995,-0.013888888888888914,-0.013888888888888914,-0.05833333333333331,0.8500000000000001
gerichtet_unten_d0.68_g0,gerichtet,0.8856481481481482,-0.040277777777777794,-0.05995513284570131,-0.020600422709854283,-0.025000000000000022,-0.018055555555555602,-0.07777777777777777,1.02
gerichtet_unten_d0.68_g0.17,gerichtet,0.8810185185185185,-0.04490740740740741,-0.06726353943492559,-0.022551275379889227,-0.030555555555555558,-0.018055555555555564,-0.0861111111111111,1.19
gerichtet_links_d0.34_g0,gerichtet,0.9023148148148148,-0.023611111111111138,-0.032942418761656996,-0.01427980346056528,-0.018055555555555602,-0.01250000000000003,-0.04027777777777778,0.68
gerichtet_links_d0.34_g0.17,gerichtet,0.8990740740740741,-0.026851851851851866,-0.038329748544314854,-0.015373955159388875,-0.019444444444444486,-0.013888888888888914,-0.0472222222222222,0.8500000000000001
gerichtet_links_d0.68_g0,gerichtet,0.8939814814814814,-0.031944444444444456,-0.04569099283277061,-0.018197896056118303,-0.02777777777777779,-0.013888888888888914,-0.05416666666666666,1.02
gerichtet_links_d0.68_g0.17,gerichtet,0.8916666666666667,-0.034259259259259274,-0.05040881694069124,-0.018109701577827302,-0.026388888888888906,-0.015277777777777798,-0.061111111111111116,1.19
gerichtet_rechts_d0.34_g0,gerichtet,0.9041666666666668,-0.02175925925925927,-0.03219444444444443,-0.01132407407407411,-0.011111111111111146,-0.01250000000000003,-0.04166666666666663,0.68
gerichtet_rechts_d0.34_g0.17,gerichtet,0.8986111111111111,-0.027314814814814816,-0.040306911705565565,-0.01432271792406407,-0.013888888888888914,-0.015277777777777798,-0.052777777777777736,0.8500000000000001
gerichtet_rechts_d0.68_g0,gerichtet,0.8893518518518518,-0.03657407407407408,-0.05633494083849529,-0.01681320730965287,-0.013888888888888914,-0.020833333333333332,-0.075,1.02
gerichtet_rechts_d0.68_g0.17,gerichtet,0.8865740740740741,-0.039351851851851846,-0.057669348753169064,-0.02103435495053463,-0.022222222222222254,-0.022222222222222216,-0.07361111111111107,1.19
