seed,noise_sigma,model,family,accuracy,separability_ratio,repeatability_rmse
101,0.15,baseline_ungekoppelt,baseline,0.9708333333333333,1.4701050464426888,0.04653983629957245
101,0.15,kontrolle_isotrop_0.34,isotrop,0.925,1.2731306248462313,0.047904580075153774
101,0.15,anisotrop_horizontal_d0.34_t0,anisotrop,0.9416666666666667,1.3452098670289805,0.04737558248439395
101,0.15,anisotrop_horizontal_d0.34_t0.17,anisotrop,0.9375,1.3033942760736232,0.04766194117063469
101,0.15,anisotrop_horizontal_d0.68_t0,anisotrop,0.9333333333333333,1.2594900987361795,0.04805860089456367
101,0.15,anisotrop_horizontal_d0.68_t0.17,anisotrop,0.925,1.2295648916269166,0.048424954548144376
101,0.15,anisotrop_vertikal_d0.34_t0,anisotrop,0.9625,1.3734515690698923,0.04667330640647199
101,0.15,anisotrop_vertikal_d0.34_t0.17,anisotrop,0.95,1.3176594687952414,0.04736398851591255
101,0.15,anisotrop_vertikal_d0.68_t0,anisotrop,0.9375,1.3168005352286818,0.04686266692866085
101,0.15,anisotrop_vertikal_d0.68_t0.17,anisotrop,0.9208333333333333,1.2695866027852123,0.047662629455081366
101,0.15,gerichtet_oben_d0.34_g0,gerichtet,0.9541666666666667,1.3493800402823555,0.0470804369105516
101,0.15,gerichtet_oben_d0.34_g0.17,gerichtet,0.9541666666666667,1.3308229406148107,0.047259377343398475
101,0.15,gerichtet_oben_d0.68_g0,gerichtet,0.9458333333333333,1.3118353661814088,0.0472201385748584
101,0.15,gerichtet_oben_d0.68_g0.17,gerichtet,0.9416666666666667,1.2969614888747827,0.047403025171361766
101,0.15,gerichtet_unten_d0.34_g0,gerichtet,0.9625,1.3576781837268344,0.047312730537060366
101,0.15,gerichtet_unten_d0.34_g0.17,gerichtet,0.9625,1.337019211943109,0.04729879099980252
101,0.15,gerichtet_unten_d0.68_g0,gerichtet,0.9458333333333333,1.3236210399807815,0.04764702801830279
101,0.15,gerichtet_unten_d0.68_g0.17,gerichtet,0.9416666666666667,1.309244642231188,0.047587706257881134
101,0.15,gerichtet_links_d0.34_g0,gerichtet,0.9458333333333333,1.3118270211148475,0.04762687233511589
101,0.15,gerichtet_links_d0.34_g0.17,gerichtet,0.9416666666666667,1.3086379692702237,0.04761187600791944
101,0.15,gerichtet_links_d0.68_g0,gerichtet,0.9291666666666667,1.2293816918013758,0.048450291232689464
101,0.15,gerichtet_links_d0.68_g0.17,gerichtet,0.9333333333333333,1.2308145498807133,0.04837336946472918
101,0.15,gerichtet_rechts_d0.34_g0,gerichtet,0.9625,1.3827410048725055,0.04690475645836705
101,0.15,gerichtet_rechts_d0.34_g0.17,gerichtet,0.9583333333333334,1.3427242721653914,0.04729160568584187
101,0.15,gerichtet_rechts_d0.68_g0,gerichtet,0.9541666666666667,1.3561884674759241,0.047357105806753945
101,0.15,gerichtet_rechts_d0.68_g0.17,gerichtet,0.9416666666666667,1.3243349722189304,0.047641207455809687
101,0.35,baseline_ungekoppelt,baseline,0.9416666666666667,1.4167736360007306,0.0430264933453696
101,0.35,kontrolle_isotrop_0.34,isotrop,0.925,1.3074066239588022,0.04345608286093812
101,0.35,anisotrop_horizontal_d0.34_t0,anisotrop,0.9291666666666667,1.3559195101687975,0.04360601901687399
101,0.35,anisotrop_horizontal_d0.34_t0.17,anisotrop,0.9291666666666667,1.3289063273067292,0.04358481625610098
101,0.35,anisotrop_horizontal_d0.68_t0,anisotrop,0.9291666666666667,1.3040888631007899,0.043955556068761184
101,0.35,anisotrop_horizontal_d0.68_t0.17,anisotrop,0.925,1.274725074211303,0.043955006560514744
