model,family,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,131,0.02,1,1.0,2.7030000000000003,0.006575854292680243,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,131,0.02,0,1.0,2.7,0.0004929215579553937,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,131,0.01,0,1.0,2.73,0.0005219884908023972,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,167,0.02,1,1.0,2.823,0.006308997337993552,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,167,0.02,0,1.0,2.82,0.0006745801191898462,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,167,0.01,0,1.0,2.84,0.0007117946862726115,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,101,0.02,1,1.0,2.56,0.003363520760872223,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,101,0.02,0,1.0,2.56,0.00021755173288072444,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,101,0.01,0,1.0,2.59,0.0002346276966995784,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,131,0.02,1,1.0,2.563,0.0030581298114050184,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,131,0.02,0,1.0,2.56,0.000219346287043664,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,131,0.01,0,1.0,2.59,0.0002365101545132499,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,167,0.02,1,1.0,2.5,0.0029058177882713265,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,167,0.02,0,1.0,2.5,0.00018152034855806458,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,nominal,167,0.01,0,1.0,2.5300000000000002,0.00019618677380109608,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,101,0.02,1,1.0,2.6630000000000003,0.005735641144995617,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,101,0.02,0,1.0,2.7,0.0004043135377840362,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,101,0.01,0,1.0,2.72,0.000430847572384597,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,131,0.02,1,1.0,2.666,0.006436640686901469,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,131,0.02,0,1.0,2.6630000000000003,0.00038535123635678037,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,131,0.01,0,1.0,2.7,0.0004106881800958574,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,167,0.02,1,1.0,2.7600000000000002,0.00601828721782033,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,167,0.02,0,1.0,2.74,0.00044753263708421237,0.0,0
anisotrop_horizontal_d0.34_t0.17,anisotrop,erhoeht,167,0.01,0,1.0,2.77,0.0004768180852336356,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,101,0.02,1,1.0,2.56,0.0034394135649288005,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,101,0.02,0,1.0,2.56,0.00022360423152967322,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,101,0.01,0,1.0,2.59,0.0002409534864122837,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,131,0.02,1,1.0,2.563,0.002978141041022168,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,131,0.02,0,1.0,2.56,0.0002303010083165006,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,131,0.01,0,1.0,2.59,0.000247873877662459,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,167,0.02,1,1.0,2.5,0.0029257665756931514,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,167,0.02,0,1.0,2.5,0.0001970838046305631,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,nominal,167,0.01,0,1.0,2.5300000000000002,0.00021231949725803578,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,101,0.02,1,1.0,2.68,0.005661900859198207,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,101,0.02,0,1.0,2.7,0.000459180198220766,0.0,0
