model,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
zwei_zustaende_l0.8_s2_a0.5,erhoeht,131,0.02,0,1.0,5.0,0.025812876661283377,0.0,0
zwei_zustaende_l0.8_s2_a0.5,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616351125759691,0.0,0
zwei_zustaende_l0.8_s2_a0.5,erhoeht,167,0.02,1,1.0,5.265,0.03245625603636823,0.0,0
zwei_zustaende_l0.8_s2_a0.5,erhoeht,167,0.02,0,1.0,5.22,0.030769520159588115,0.0,0
zwei_zustaende_l0.8_s2_a0.5,erhoeht,167,0.01,0,1.0,5.24,0.03113831739595509,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,101,0.02,1,1.0,4.86,0.02172264808929752,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,101,0.02,0,1.0,4.86,0.021126793280633868,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149605491551653,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,131,0.02,1,1.0,4.66,0.018396843697501455,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,131,0.02,0,1.0,4.64,0.01743500425472655,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,131,0.01,0,1.0,4.6625,0.017758132242814587,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,167,0.02,1,1.0,4.74,0.019174914200493443,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,167,0.02,0,1.0,4.72,0.018814023900777143,0.0,0
zwei_zustaende_l0.8_s2_a0.75,nominal,167,0.01,0,1.0,4.7425,0.0191534748013335,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027966062230987982,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,101,0.02,0,1.0,5.04,0.026435595276157662,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.02679515283504881,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,131,0.02,1,1.0,5.05,0.028316655768493966,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,131,0.02,0,1.0,5.0,0.025812876661283377,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616351125759691,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,167,0.02,1,1.0,5.265,0.03245625603636823,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,167,0.02,0,1.0,5.22,0.030769520159588115,0.0,0
zwei_zustaende_l0.8_s2_a0.75,erhoeht,167,0.01,0,1.0,5.24,0.03113831739595509,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,101,0.02,1,1.0,4.86,0.021690696660610582,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,101,0.02,0,1.0,4.86,0.021126786118018243,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149604620124982,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,131,0.02,1,1.0,4.66,0.018371161085665465,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,131,0.02,0,1.0,4.64,0.017434995303510715,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,131,0.01,0,1.0,4.6625,0.017758121415811002,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,167,0.02,1,1.0,4.74,0.019145995354106514,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,167,0.02,0,1.0,4.72,0.018813952205174324,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,nominal,167,0.01,0,1.0,4.7425,0.019153391860865444,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027926166355477594,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,101,0.02,0,1.0,5.04,0.0264355861461685,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.026795141901933994,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,131,0.02,1,1.0,5.045,0.028259147977679727,0.0,0
