model,mean_accuracy,advantage,ci95_low,ci95_high,advantage_kontinuitaet,advantage_zeitskalen,advantage_noise_015,advantage_noise_035,advantage_noise_055,rate_ratio,slow_weight
zwei_zustaende_l1_s2_a0.25,0.700462962962963,0.015509259259259257,0.002241876484380465,0.02877664203413805,0.0032407407407407294,0.027777777777777783,0.029861111111111106,0.013194444444444434,0.0034722222222222285,2.0,0.75
zwei_zustaende_l1_s2_a0.5,0.7087962962962963,0.02384259259259259,0.006502058963200271,0.0411831262219849,0.002777777777777768,0.04490740740740741,0.04027777777777777,0.01874999999999999,0.012500000000000002,2.0,0.5
zwei_zustaende_l1_s2_a0.75,0.7023148148148146,0.017361111111111105,0.0008915674123878767,0.03383065480983433,0.0009259259259259103,0.033796296296296297,0.020833333333333304,0.024999999999999994,0.006250000000000015,2.0,0.25
zwei_zustaende_l1_s3.2_a0.25,0.6983796296296296,0.013425925925925918,0.0014766497418498455,0.02537520211000199,0.002777777777777768,0.024074074074074067,0.02361111111111111,0.01111111111111109,0.005555555555555554,3.2,0.75
zwei_zustaende_l1_s3.2_a0.5,0.705787037037037,0.02083333333333333,0.002453144644470554,0.03921352202219611,-0.00185185185185187,0.043518518518518526,0.029861111111111106,0.023611111111111083,0.009027777777777793,3.2,0.5
zwei_zustaende_l1_s3.2_a0.75,0.7002314814814814,0.015277777777777776,-0.005178882397670441,0.03573443795322599,-0.00046296296296297366,0.031018518518518525,0.020138888888888883,0.02708333333333332,-0.0013888888888888746,3.2,0.25
zwei_zustaende_l1_s4.8_a0.25,0.6972222222222223,0.012268518518518515,0.00035730310740285723,0.024179733929634174,0.0018518518518518452,0.022685185185185183,0.01875,0.014583333333333318,0.0034722222222222285,4.8,0.75
zwei_zustaende_l1_s4.8_a0.5,0.7002314814814814,0.015277777777777772,-0.004485233526968217,0.03504078908252376,-0.00833333333333334,0.03888888888888889,0.024999999999999994,0.015277777777777751,0.005555555555555573,4.8,0.5
zwei_zustaende_l1_s4.8_a0.75,0.6969907407407407,0.012037037037037037,-0.01102296026020885,0.03509703433428292,-0.013888888888888902,0.037962962962962976,0.01597222222222223,0.029166666666666657,-0.009027777777777773,4.8,0.25
zwei_zustaende_l1.2_s2_a0.25,0.7002314814814815,0.015277777777777779,0.006225079644051949,0.02433047591150361,0.006481481481481471,0.024074074074074088,0.02361111111111111,0.0111111111111111,0.011111111111111127,1.6666666666666667,0.75
zwei_zustaende_l1.2_s2_a0.5,0.7087962962962963,0.02384259259259258,0.007659329886639473,0.04002585529854569,0.0037037037037036783,0.04398148148148148,0.03680555555555554,0.020138888888888862,0.014583333333333328,1.6666666666666667,0.5
zwei_zustaende_l1.2_s2_a0.75,0.7025462962962962,0.017592592592592587,0.0010003574384904942,0.03418482774669468,0.0009259259259259103,0.03425925925925926,0.020138888888888862,0.024999999999999994,0.007638888888888899,1.6666666666666667,0.25
zwei_zustaende_l1.2_s3.2_a0.25,0.7002314814814815,0.015277777777777772,0.005028160819811002,0.025527394735744544,0.005555555555555548,0.024999999999999998,0.024999999999999994,0.014583333333333318,0.0062500000000000056,2.666666666666667,0.75
zwei_zustaende_l1.2_s3.2_a0.5,0.7083333333333334,0.023379629629629625,0.005674239461690617,0.04108501979756864,0.0018518518518518207,0.044907407407407424,0.03333333333333333,0.023611111111111093,0.013194444444444444,2.666666666666667,0.5
zwei_zustaende_l1.2_s3.2_a0.75,0.6999999999999998,0.015046296296296289,-0.004970274871575751,0.035062867464168326,-0.00046296296296298597,0.030555555555555565,0.020833333333333325,0.02708333333333332,-0.002777777777777777,2.666666666666667,0.25
zwei_zustaende_l1.2_s4.8_a0.25,0.6986111111111111,0.013657407407407403,0.003118306551210195,0.02419650826360461,0.001388888888888884,0.02592592592592592,0.020138888888888883,0.016666666666666653,0.00416666666666667,4.0,0.75
zwei_zustaende_l1.2_s4.8_a0.5,0.7020833333333334,0.017129629629629627,-0.0006709084060965188,0.03493016766535577,-0.0027777777777777926,0.03703703703703705,0.02638888888888888,0.01527777777777777,0.009722222222222235,4.0,0.5
zwei_zustaende_l1.2_s4.8_a0.75,0.6944444444444444,0.00949074074074074,-0.015114059121661343,0.03409554060314282,-0.018055555555555564,0.03703703703703705,0.016666666666666673,0.024305555555555552,-0.012500000000000002,4.0,0.25
