task,seed,noise_sigma,model,accuracy,separability_ratio,repeatability_rmse
kontinuitaet,101,0.15,baseline_ein_zustand,0.9708333333333333,1.476451858605987,0.04672262660762338
kontinuitaet,101,0.15,zwei_zustaende_l1_s2_a0.25,0.9541666666666667,1.8010271453850553,0.04917439551047895
kontinuitaet,101,0.15,zwei_zustaende_l1_s2_a0.5,0.9416666666666667,2.0069709248993877,0.04746587950770753
kontinuitaet,101,0.15,zwei_zustaende_l1_s2_a0.75,0.9375,1.9442895304921994,0.04504232177264453
kontinuitaet,101,0.15,zwei_zustaende_l1_s3.2_a0.25,0.9541666666666667,1.8348669689815347,0.04858815732381065
kontinuitaet,101,0.15,zwei_zustaende_l1_s3.2_a0.5,0.9291666666666667,1.9429690753368767,0.04629454063227242
kontinuitaet,101,0.15,zwei_zustaende_l1_s3.2_a0.75,0.9041666666666667,1.8402076086028285,0.042603672133859224
kontinuitaet,101,0.15,zwei_zustaende_l1_s4.8_a0.25,0.9541666666666667,1.861672142104283,0.04821313816507881
kontinuitaet,101,0.15,zwei_zustaende_l1_s4.8_a0.5,0.9166666666666666,1.8528512553984622,0.04551611626324461
kontinuitaet,101,0.15,zwei_zustaende_l1_s4.8_a0.75,0.8833333333333333,1.7163477304754275,0.04042444872035634
kontinuitaet,101,0.15,zwei_zustaende_l1.2_s2_a0.25,0.9583333333333334,1.7604950121937621,0.04843046266110696
kontinuitaet,101,0.15,zwei_zustaende_l1.2_s2_a0.5,0.9375,1.9988369670118646,0.04729476685486534
kontinuitaet,101,0.15,zwei_zustaende_l1.2_s2_a0.75,0.9333333333333333,1.9387906062831464,0.04502081845150928
kontinuitaet,101,0.15,zwei_zustaende_l1.2_s3.2_a0.25,0.9583333333333334,1.79228183104587,0.047857579363507444
kontinuitaet,101,0.15,zwei_zustaende_l1.2_s3.2_a0.5,0.9333333333333333,1.9339477535531147,0.046337917492378304
kontinuitaet,101,0.15,zwei_zustaende_l1.2_s3.2_a0.75,0.9041666666666667,1.8264754398187393,0.04267910650355469
