task,seed,noise_sigma,readout,event_activity,accuracy,separability_ratio,repeatability_rmse
kontinuitaet,503,0.15,mittelwert_steigung,nan,0.9458333333333333,1.1365711331020332,0.04505025745583442
kontinuitaet,503,0.15,mittelwert_steigung_normiert,nan,0.9333333333333333,1.233993664924956,0.04075234684605032
kontinuitaet,503,0.15,ereignis_t0.05_l0,68.11875,0.8291666666666667,1.2588827691508329,1.5137678340999177
kontinuitaet,503,0.15,ereignis_t0.05_l0.8,68.11875,0.8791666666666667,1.28775156899456,0.7252203909468992
kontinuitaet,503,0.15,ereignis_t0.05_l1.6,68.11875,0.85,1.4118912664222005,0.4898067539871051
kontinuitaet,503,0.15,ereignis_t0.05_l3.2,68.11875,0.7875,0.8609011549165744,0.3352503143841925
kontinuitaet,503,0.15,ereignis_t0.1_l0,26.854166666666664,0.8375,0.9401080462102204,0.7101997469413486
kontinuitaet,503,0.15,ereignis_t0.1_l0.8,26.854166666666664,0.8583333333333333,1.1707674553546912,0.3487323269094724
kontinuitaet,503,0.15,ereignis_t0.1_l1.6,26.854166666666664,0.8291666666666667,0.9308014693210372,0.24970073143940866
kontinuitaet,503,0.15,ereignis_t0.1_l3.2,26.854166666666664,0.675,0.4890730635997457,0.18635477011505108
kontinuitaet,503,0.15,ereignis_t0.2_l0,9.6375,0.6958333333333333,0.6635560215771585,0.37273622263829775
kontinuitaet,503,0.15,ereignis_t0.2_l0.8,9.6375,0.7166666666666667,0.6141815003294248,0.193024590766412
kontinuitaet,503,0.15,ereignis_t0.2_l1.6,9.6375,0.65,0.5274012566883708,0.1444288677822033
kontinuitaet,503,0.15,ereignis_t0.2_l3.2,9.6375,0.49166666666666664,0.5281983768135226,0.11277495495114644
kontinuitaet,503,0.35,mittelwert_steigung,nan,0.9666666666666667,0.8694127105223748,0.04912280103601892
kontinuitaet,503,0.35,mittelwert_steigung_normiert,nan,0.9375,0.9612692572445337,0.04377045723199167
kontinuitaet,503,0.35,ereignis_t0.05_l0,88.4,0.7041666666666667,0.725355534291614,2.0719899519812133
kontinuitaet,503,0.35,ereignis_t0.05_l0.8,88.4,0.8,0.8442873198459684,1.0432150835149596
kontinuitaet,503,0.35,ereignis_t0.05_l1.6,88.4,0.7958333333333333,0.7051479103377574,0.7092245043469843
kontinuitaet,503,0.35,ereignis_t0.05_l3.2,88.4,0.7458333333333333,0.5567182383816767,0.4934046956935407
kontinuitaet,503,0.35,ereignis_t0.1_l0,32.49166666666667,0.7291666666666666,0.746131125216796,0.9130848582324281
kontinuitaet,503,0.35,ereignis_t0.1_l0.8,32.49166666666667,0.8083333333333333,0.6900653747243386,0.455818686809027
kontinuitaet,503,0.35,ereignis_t0.1_l1.6,32.49166666666667,0.7416666666666667,0.5933944032175136,0.31823637424209544
kontinuitaet,503,0.35,ereignis_t0.1_l3.2,32.49166666666667,0.6375,0.491701726033673,0.2362090810366017
kontinuitaet,503,0.35,ereignis_t0.2_l0,10.666666666666666,0.6125,0.6853078836761627,0.4006830106206152
kontinuitaet,503,0.35,ereignis_t0.2_l0.8,10.666666666666666,0.6625,0.7570144598258177,0.2089399342743492
kontinuitaet,503,0.35,ereignis_t0.2_l1.6,10.666666666666666,0.5666666666666667,0.5672652673499253,0.15683245337068544
kontinuitaet,503,0.35,ereignis_t0.2_l3.2,10.666666666666666,0.43333333333333335,0.1979903490260316,0.12558223653029038
kontinuitaet,503,0.55,mittelwert_steigung,nan,0.8666666666666667,0.769978399123428,0.048324281400071924
kontinuitaet,503,0.55,mittelwert_steigung_normiert,nan,0.8416666666666667,0.8154354703935494,0.04290060405843702
kontinuitaet,503,0.55,ereignis_t0.05_l0,106.91458333333333,0.5333333333333333,0.6527127680404432,2.1754230112274207
kontinuitaet,503,0.55,ereignis_t0.05_l0.8,106.91458333333333,0.6375,0.739819564060272,1.1317360170693576
kontinuitaet,503,0.55,ereignis_t0.05_l1.6,106.91458333333333,0.65,0.7869601373044618,0.7750940707766019
kontinuitaet,503,0.55,ereignis_t0.05_l3.2,106.91458333333333,0.6333333333333333,0.679146565815978,0.5297080091647692
kontinuitaet,503,0.55,ereignis_t0.1_l0,37.39791666666667,0.5333333333333333,0.6959201353455616,0.9888484113126519
kontinuitaet,503,0.55,ereignis_t0.1_l0.8,37.39791666666667,0.65,0.7555112066751951,0.5087107647134839
kontinuitaet,503,0.55,ereignis_t0.1_l1.6,37.39791666666667,0.6208333333333333,0.6851418209622129,0.35814770712346766
kontinuitaet,503,0.55,ereignis_t0.1_l3.2,37.39791666666667,0.5125,0.5552851801716122,0.259473512095907
kontinuitaet,503,0.55,ereignis_t0.2_l0,11.710416666666667,0.4791666666666667,0.43203173139561635,0.44409708648247426
kontinuitaet,503,0.55,ereignis_t0.2_l0.8,11.710416666666667,0.5916666666666667,0.571666596924907,0.2319716752012847
kontinuitaet,503,0.55,ereignis_t0.2_l1.6,11.710416666666667,0.5041666666666667,0.5128522317604001,0.17142997400279006
kontinuitaet,503,0.55,ereignis_t0.2_l3.2,11.710416666666667,0.3375,0.4166017740307881,0.1354000084803057
kontinuitaet,541,0.15,mittelwert_steigung,nan,0.9708333333333333,1.2116531647850395,0.0519087336519232
kontinuitaet,541,0.15,mittelwert_steigung_normiert,nan,0.9333333333333333,1.4042575325350235,0.04526268163263732
kontinuitaet,541,0.15,ereignis_t0.05_l0,68.58125,0.8291666666666667,1.0019301917251544,1.665859179389289
kontinuitaet,541,0.15,ereignis_t0.05_l0.8,68.58125,0.8875,0.970524787546013,0.8095442203692776
kontinuitaet,541,0.15,ereignis_t0.05_l1.6,68.58125,0.8416666666666667,1.0791110558566137,0.5437946038129348
kontinuitaet,541,0.15,ereignis_t0.05_l3.2,68.58125,0.7791666666666667,0.9945032767212456,0.36559063115738855
kontinuitaet,541,0.15,ereignis_t0.1_l0,27.352083333333333,0.8291666666666667,1.0061051986931437,0.7386878381442477
kontinuitaet,541,0.15,ereignis_t0.1_l0.8,27.352083333333333,0.8291666666666667,1.0915125847423854,0.37136648535847466
kontinuitaet,541,0.15,ereignis_t0.1_l1.6,27.352083333333333,0.8,1.1679280115643114,0.26443298547383887
kontinuitaet,541,0.15,ereignis_t0.1_l3.2,27.352083333333333,0.7291666666666666,0.6522296958461495,0.19414352798303608
kontinuitaet,541,0.15,ereignis_t0.2_l0,9.745833333333334,0.65,0.7428892674190496,0.3829028379802549
kontinuitaet,541,0.15,ereignis_t0.2_l0.8,9.745833333333334,0.7,0.6753007283559356,0.19940379762683366
kontinuitaet,541,0.15,ereignis_t0.2_l1.6,9.745833333333334,0.6166666666666667,0.6270214970429663,0.14715945336444022
kontinuitaet,541,0.15,ereignis_t0.2_l3.2,9.745833333333334,0.525,0.43213195768012014,0.11341980814442582
kontinuitaet,541,0.35,mittelwert_steigung,nan,0.9791666666666666,1.0979220940120056,0.04741672530955556
kontinuitaet,541,0.35,mittelwert_steigung_normiert,nan,0.9458333333333333,1.1722879259606152,0.04305970881220165
kontinuitaet,541,0.35,ereignis_t0.05_l0,91.52916666666667,0.6708333333333333,0.6135334442425695,2.0947499685059205
kontinuitaet,541,0.35,ereignis_t0.05_l0.8,91.52916666666667,0.7291666666666666,1.0148938434186237,1.077825667006866
kontinuitaet,541,0.35,ereignis_t0.05_l1.6,91.52916666666667,0.7625,1.003637874169385,0.7374781743026133
kontinuitaet,541,0.35,ereignis_t0.05_l3.2,91.52916666666667,0.7166666666666667,0.8428164744130675,0.5038211760932632
kontinuitaet,541,0.35,ereignis_t0.1_l0,33.7375,0.6791666666666667,0.7135246640840397,0.9079605504156615
kontinuitaet,541,0.35,ereignis_t0.1_l0.8,33.7375,0.7666666666666667,1.030403259154399,0.473288066077213
kontinuitaet,541,0.35,ereignis_t0.1_l1.6,33.7375,0.7208333333333333,0.9883655384354443,0.33974602785680424
kontinuitaet,541,0.35,ereignis_t0.1_l3.2,33.7375,0.6166666666666667,0.7337052390519353,0.24957788291958863
kontinuitaet,541,0.35,ereignis_t0.2_l0,11.05,0.5416666666666666,0.6008237191684505,0.4379462010338713
kontinuitaet,541,0.35,ereignis_t0.2_l0.8,11.05,0.6125,0.6842696726178292,0.23207626659060152
kontinuitaet,541,0.35,ereignis_t0.2_l1.6,11.05,0.5208333333333334,0.5475493205220446,0.17144417365561776
kontinuitaet,541,0.35,ereignis_t0.2_l3.2,11.05,0.42083333333333334,0.3278534778568953,0.13316404531221437
kontinuitaet,541,0.55,mittelwert_steigung,nan,0.8416666666666667,0.5862279295934844,0.04984924696697704
kontinuitaet,541,0.55,mittelwert_steigung_normiert,nan,0.7625,0.623107735471857,0.04518225170925882
kontinuitaet,541,0.55,ereignis_t0.05_l0,105.20416666666667,0.5541666666666667,0.5358916989404946,2.038113404597497
kontinuitaet,541,0.55,ereignis_t0.05_l0.8,105.20416666666667,0.6375,0.4895007358453305,1.050963898536641
kontinuitaet,541,0.55,ereignis_t0.05_l1.6,105.20416666666667,0.6416666666666667,0.3976983386090035,0.7341667655992038
kontinuitaet,541,0.55,ereignis_t0.05_l3.2,105.20416666666667,0.5958333333333333,0.2726297994171648,0.5283585683915298
kontinuitaet,541,0.55,ereignis_t0.1_l0,37.204166666666666,0.5666666666666667,0.4192841234962956,0.9315086329891599
kontinuitaet,541,0.55,ereignis_t0.1_l0.8,37.204166666666666,0.6458333333333334,0.5786620018682512,0.4806317014806648
kontinuitaet,541,0.55,ereignis_t0.1_l1.6,37.204166666666666,0.6375,0.49639207750229036,0.34824298182088426
kontinuitaet,541,0.55,ereignis_t0.1_l3.2,37.204166666666666,0.5125,0.3669722581921378,0.26388319097859253
kontinuitaet,541,0.55,ereignis_t0.2_l0,11.566666666666666,0.4083333333333333,0.3309135139530601,0.4133723939876865
kontinuitaet,541,0.55,ereignis_t0.2_l0.8,11.566666666666666,0.525,0.6665046549088012,0.21532895564616655
kontinuitaet,541,0.55,ereignis_t0.2_l1.6,11.566666666666666,0.45416666666666666,0.5587810235710623,0.1605281675065851
kontinuitaet,541,0.55,ereignis_t0.2_l3.2,11.566666666666666,0.30833333333333335,0.39405553981774644,0.12661970782530377
kontinuitaet,577,0.15,mittelwert_steigung,nan,0.9916666666666667,1.3717441081621293,0.04487436804503844
kontinuitaet,577,0.15,mittelwert_steigung_normiert,nan,0.9875,1.5033526704565205,0.03928279904028344
kontinuitaet,577,0.15,ereignis_t0.05_l0,66.58958333333334,0.85,0.9946205293065651,1.645622349345884
