readout,threshold,decay_rate,mean_event_activity,advantage_existing,ci95_low_existing,ci95_high_existing,advantage_existing_kontinuitaet,advantage_existing_zeitskalen,advantage_existing_adaptation,advantage_existing_noise_015,advantage_existing_noise_035,advantage_existing_noise_055,advantage_normalized,ci95_low_normalized,ci95_high_normalized,advantage_normalized_kontinuitaet,advantage_normalized_zeitskalen,advantage_normalized_adaptation,advantage_normalized_noise_015,advantage_normalized_noise_035,advantage_normalized_noise_055,conservative_advantage,minimum_task_advantage,minimum_noise_advantage
ereignis_t0.05_l0,0.05,0.0,86.55918209876545,-0.2189814814814815,-0.2577091625452119,-0.1802538004177511,-0.2449074074074074,-0.13148148148148148,-0.28055555555555556,-0.15833333333333333,-0.23750000000000002,-0.2611111111111111,-0.18641975308641975,-0.22160831809294773,-0.15123118807989178,-0.21203703703703702,-0.10694444444444444,-0.24027777777777778,-0.13240740740740742,-0.2046296296296296,-0.2222222222222222,-0.2189814814814815,-0.28055555555555556,-0.2611111111111111
ereignis_t0.05_l0.8,0.05,0.8,86.55918209876545,-0.17129629629629634,-0.20683342463789312,-0.13575916795469956,-0.16944444444444448,-0.09027777777777779,-0.2541666666666667,-0.13611111111111113,-0.16990740740740742,-0.2078703703703704,-0.1387345679012346,-0.17083446633985483,-0.10663466946261434,-0.1365740740740741,-0.06574074074074074,-0.2138888888888889,-0.11018518518518522,-0.137037037037037,-0.1689814814814815,-0.17129629629629634,-0.2541666666666667,-0.2078703703703704
ereignis_t0.05_l1.6,0.05,1.6,86.55918209876545,-0.15077160493827158,-0.18380855045966,-0.11773465941688317,-0.17222222222222222,-0.06898148148148149,-0.2111111111111111,-0.12870370370370368,-0.13287037037037036,-0.19074074074074074,-0.11820987654320987,-0.1480912695807802,-0.08832848350563953,-0.13935185185185184,-0.04444444444444444,-0.17083333333333334,-0.10277777777777779,-0.1,-0.15185185185185185,-0.15077160493827158,-0.2111111111111111,-0.19074074074074074
ereignis_t0.05_l3.2,0.05,3.2,86.55918209876545,-0.18348765432098768,-0.22037372417370965,-0.1466015844682657,-0.21296296296296297,-0.0726851851851852,-0.26481481481481484,-0.17407407407407408,-0.16944444444444445,-0.20694444444444446,-0.15092592592592596,-0.18492460769344277,-0.11692724415840915,-0.18009259259259258,-0.04814814814814814,-0.22453703703703706,-0.14814814814814817,-0.13657407407407407,-0.16805555555555554,-0.18348765432098768,-0.26481481481481484,-0.20694444444444446
ereignis_t0.1_l0,0.1,0.0,31.19645061728395,-0.22654320987654325,-0.2639018923230544,-0.18918452743003208,-0.24166666666666664,-0.14212962962962963,-0.29583333333333334,-0.18055555555555555,-0.2263888888888889,-0.2726851851851852,-0.1939814814814815,-0.22817243402192833,-0.15979052894103468,-0.20879629629629626,-0.1175925925925926,-0.2555555555555556,-0.15462962962962962,-0.19351851851851853,-0.23379629629629628,-0.22654320987654325,-0.29583333333333334,-0.2726851851851852
ereignis_t0.1_l0.8,0.1,0.8,31.19645061728395,-0.18719135802469136,-0.22311032100475037,-0.15127239504463236,-0.16712962962962963,-0.09861111111111112,-0.29583333333333334,-0.18055555555555555,-0.17453703703703705,-0.20648148148148152,-0.15462962962962962,-0.18778512070701958,-0.12147413855223965,-0.13425925925925924,-0.07407407407407407,-0.25555555555555565,-0.15462962962962962,-0.14166666666666666,-0.16759259259259263,-0.18719135802469136,-0.29583333333333334,-0.20648148148148152
ereignis_t0.1_l1.6,0.1,1.6,31.19645061728395,-0.18472222222222226,-0.22006813081422716,-0.14937631363021736,-0.20092592592592592,-0.08287037037037037,-0.27037037037037037,-0.17824074074074076,-0.17824074074074076,-0.19768518518518519,-0.1521604938271605,-0.1852415049494159,-0.11907948270490507,-0.16805555555555554,-0.05833333333333332,-0.23009259259259263,-0.15231481481481485,-0.14537037037037037,-0.1587962962962963,-0.18472222222222226,-0.27037037037037037,-0.19768518518518519
ereignis_t0.1_l3.2,0.1,3.2,31.19645061728395,-0.2558641975308642,-0.2984564520954972,-0.21327194296623117,-0.30462962962962964,-0.12592592592592594,-0.337037037037037,-0.2615740740740741,-0.24074074074074078,-0.2652777777777778,-0.2233024691358025,-0.26356706023927823,-0.1830378780323268,-0.27175925925925926,-0.1013888888888889,-0.2967592592592593,-0.23564814814814816,-0.20787037037037034,-0.2263888888888889,-0.2558641975308642,-0.337037037037037,-0.2652777777777778
ereignis_t0.2_l0,0.2,0.0,9.885185185185184,-0.34722222222222227,-0.39188487919806525,-0.3025595652463793,-0.3685185185185185,-0.21481481481481482,-0.4583333333333333,-0.33194444444444443,-0.3467592592592592,-0.36296296296296293,-0.31466049382716044,-0.35678873424061597,-0.2725322534137049,-0.33564814814814814,-0.19027777777777777,-0.41805555555555557,-0.30601851851851847,-0.3138888888888889,-0.32407407407407407,-0.34722222222222227,-0.4583333333333333,-0.36296296296296293
ereignis_t0.2_l0.8,0.2,0.8,9.885185185185184,-0.3300925925925925,-0.38228171826096247,-0.2779034669242225,-0.2949074074074074,-0.1962962962962963,-0.4990740740740741,-0.3361111111111111,-0.31898148148148153,-0.3351851851851852,-0.2975308641975309,-0.347626238162381,-0.2474354902326808,-0.26203703703703707,-0.17175925925925925,-0.45879629629629626,-0.31018518518518523,-0.28611111111111115,-0.29629629629629634,-0.3300925925925925,-0.4990740740740741,-0.3361111111111111
ereignis_t0.2_l1.6,0.2,1.6,9.885185185185184,-0.3612654320987654,-0.4152926412597266,-0.3072382229378042,-0.3671296296296296,-0.20000000000000004,-0.5166666666666667,-0.3662037037037037,-0.3569444444444445,-0.3606481481481481,-0.3287037037037037,-0.3797461071488451,-0.27766130025856234,-0.3342592592592592,-0.17546296296296296,-0.476388888888889,-0.3402777777777778,-0.3240740740740741,-0.32175925925925924,-0.3612654320987654,-0.5166666666666667,-0.3662037037037037
ereignis_t0.2_l3.2,0.2,3.2,9.885185185185184,-0.4222222222222223,-0.47791231714939747,-0.3665321272950471,-0.5027777777777778,-0.23240740740740742,-0.5314814814814813,-0.42962962962962964,-0.4240740740740741,-0.412962962962963,-0.3896604938271605,-0.4426320650544011,-0.3366889225999199,-0.46990740740740744,-0.20787037037037037,-0.4912037037037037,-0.40370370370370373,-0.39120370370370366,-0.374074074074074,-0.4222222222222223,-0.5314814814814813,-0.42962962962962964
