model,accuracy_mean,accuracy_std,separability_ratio_mean,separability_ratio_std,repeatability_rmse_mean,repeatability_rmse_std,violation_rate_mean,violation_rate_std,activity_proxy_mean,activity_proxy_std,max_abs_mean,max_abs_std
feld_2_regime,0.8511111111111112,0.0552426705138577,0.9828554139765173,0.23216185964503763,0.0658023455705098,0.0024829542602043003,0.0,0.0,0.007988791717503513,0.0026376791080614413,1.1760211407724093,0.0772449279055882
feld_3_regime,0.8497222222222224,0.055533725869913585,0.9816135161855819,0.22969745331596786,0.06587870834904903,0.0023316788577117027,0.0,0.0,0.007984545575332314,0.00263930515831885,1.116508718414713,0.059470799300061876
feld_4_regime,0.8502777777777779,0.05526511380819554,0.9913214110547405,0.23292229152340355,0.06499608579107609,0.0023085608603743554,0.0,0.0,0.007975955142770047,0.0026420569934677528,1.0812163115715525,0.06944487149284123
feld_glatt,0.8525000000000001,0.055875073239538664,0.9753542610544448,0.22242075336842276,0.06561313471142705,0.0023182714213899674,0.0,0.0,0.007985553438813017,0.002638879153393254,1.138030312412646,0.07177819380302146
baseline_ungekoppelt,0.897222222222222,0.0454165756515762,1.1509440001271056,0.2981630170046195,0.05906170615170596,0.002292271486128354,0.0,0.0,0.007922846745058738,0.0026589645857534277,1.1744820967107967,0.08242317746437576
baseline_linear_rc,0.8669444444444444,0.04973807054335404,1.036464055389412,0.23534131852195805,0.06128196285354504,0.0022770993033545826,0.0,0.0,0.007870368324339584,0.0026806990708939456,1.034049636130132,0.07048180037832247
baseline_digital_diffusion,0.8138888888888888,0.10432923821772085,0.7229645278260989,0.18382411145032299,0.05254921865017197,0.005307274139049154,0.0,0.0,nan,nan,1.4627106227106226,0.058454009999341854
baseline_rohsignal,0.7877777777777778,0.16769375984200216,0.6491709442471804,0.19287157813529274,0.05340439054161739,0.0032351804906422307,0.0,0.0,nan,nan,1.875,0.0
