seed,noise_sigma,model,accuracy,separability_ratio,repeatability_rmse,violation_rate,activity_proxy,max_abs
11,0.15,feld_2_regime,0.8833333333333333,0.9865234584567129,0.06709250780330155,0.0,0.004887559378711971,1.1223048408823908
11,0.15,feld_3_regime,0.8916666666666667,0.9751194423618268,0.0676666441655042,0.0,0.0048749600888901255,1.059391809951566
11,0.15,feld_4_regime,0.8958333333333334,0.9658980368004849,0.06598358092795821,0.0,0.004863438355767992,1.026039180903639
11,0.15,feld_glatt,0.9,0.9690246259593917,0.06763581831024709,0.0,0.004884880736805597,1.103850882066029
11,0.15,baseline_ungekoppelt,0.9291666666666667,1.1713807924392328,0.05940117525813217,0.0,0.004787059007004521,1.1298627529334004
11,0.15,baseline_linear_rc,0.8916666666666667,1.0607875907856488,0.06248801015472866,0.0,0.004720580210977232,0.9954999371678004
11,0.15,baseline_digital_diffusion,0.9166666666666666,0.819111834571274,0.05952399060193477,0.0,nan,1.413186813186813
11,0.15,baseline_rohsignal,0.9791666666666666,0.8124049537433685,0.05658262515526079,0.0,nan,1.875
11,0.35,feld_2_regime,0.8625,0.9292747366976642,0.0614157214558268,0.0,0.00792856688528858,1.280135771381105
11,0.35,feld_3_regime,0.8625,0.9083117595012761,0.061804943665581674,0.0,0.007915170782414998,1.152445237597611
11,0.35,feld_4_regime,0.8625,0.9063774417017785,0.060676121260557464,0.0,0.00790840752835126,1.130729816315102
11,0.35,feld_glatt,0.8625,0.9223798198591765,0.061341220442448656,0.0,0.007923845929638728,1.2055575560035905
11,0.35,baseline_ungekoppelt,0.925,1.096596857940793,0.055831614243459816,0.0,0.007880167128611044,1.2888652707329962
11,0.35,baseline_linear_rc,0.8875,0.947061652433417,0.05688015168922535,0.0,0.007815955316984372,1.1194415456551283
11,0.35,baseline_digital_diffusion,0.8833333333333333,0.6815628599331496,0.049136505323151364,0.0,nan,1.5098901098901099
11,0.35,baseline_rohsignal,0.9208333333333333,0.5130748866551537,0.052779582383099856,0.0,nan,1.875
11,0.55,feld_2_regime,0.7666666666666667,0.783896150425159,0.06670419755265525,0.0,0.011175043284196965,1.1812562119072565
11,0.55,feld_3_regime,0.75,0.77242169489922,0.06680699305738214,0.0,0.011172213787132144,1.0838091151891844
11,0.55,feld_4_regime,0.75,0.790281914785378,0.0658747161917618,0.0,0.011163110749225862,1.0264350581784778
11,0.55,feld_glatt,0.7583333333333333,0.7816249001583545,0.06669077124712591,0.0,0.011175337487695183,1.115157745936305
11,0.55,baseline_ungekoppelt,0.8125,0.8658879569271585,0.06129891173500506,0.0,0.011123530224722988,1.083393368990335
11,0.55,baseline_linear_rc,0.7833333333333333,0.8035866403975485,0.062152266505698724,0.0,0.011104149997907549,1.0015446577290676
11,0.55,baseline_digital_diffusion,0.65,0.683578306571574,0.04934125297649183,0.0,nan,1.52014652014652
11,0.55,baseline_rohsignal,0.5666666666666667,0.6073715218282173,0.050961860599301384,0.0,nan,1.875
23,0.15,feld_2_regime,0.9166666666666666,1.3471245241448433,0.06259396029888639,0.0,0.004942047364745236,1.301095004855068
23,0.15,feld_3_regime,0.9041666666666667,1.3257333618164828,0.0631200273011641,0.0,0.0049363802642583875,1.2267962428256045
23,0.15,feld_4_regime,0.9125,1.34965917760741,0.06233534967074689,0.0,0.0049253105946388985,1.212336915785846
23,0.15,feld_glatt,0.9125,1.3389423348687821,0.06271738209194944,0.0,0.00493351585552073,1.2559020646964176
23,0.15,baseline_ungekoppelt,0.9291666666666667,1.5929919194967717,0.05622436446828418,0.0,0.004835109892627878,1.2672745905739091
23,0.15,baseline_linear_rc,0.9166666666666666,1.3722432025634022,0.05886493261094852,0.0,0.004764175719222691,1.155897321091747
23,0.15,baseline_digital_diffusion,0.8916666666666667,1.188627177832761,0.054476906856670046,0.0,nan,1.4732600732600734
23,0.15,baseline_rohsignal,0.9166666666666666,1.0934180270912917,0.05254999302852512,0.0,nan,1.875
23,0.35,feld_2_regime,0.8791666666666667,0.9700945209834471,0.0637698152932213,0.0,0.007911642540351245,1.1096523678895733
23,0.35,feld_3_regime,0.8791666666666667,0.9689595048425258,0.0644641934216038,0.0,0.007905641145554322,1.0783798643076359
23,0.35,feld_4_regime,0.875,0.9938467714600262,0.06377273726191839,0.0,0.00790018510252119,1.0159042435215275
