model,accuracy_mean,accuracy_std,separability_ratio_mean,separability_ratio_std,repeatability_rmse_mean,repeatability_rmse_std,return_residual_mean,return_residual_std,return_time_mean,return_time_std,return_success_mean,return_success_std,violation_rate_mean,violation_rate_std,activity_proxy_mean,activity_proxy_std,max_abs_mean,max_abs_std
feld_2_regime,0.6083333333333333,0.15702080597710663,0.7259050581954203,0.2874566816522409,0.1728441415295711,0.02982091851267486,0.2121727170095129,0.009470058668496517,4.012584661370377,0.3540835717035164,0.03888888888888889,0.02582415778337134,0.0,0.0,0.0036737788749115134,0.0003377036892729644,1.647109610641442,0.058893072201943335
feld_3_regime,0.6319444444444444,0.16167287120587245,0.7242087072238272,0.32346884065786063,0.15895251228997956,0.030876227939883504,0.1844705911584069,0.006968756334445579,3.9783677248677245,0.4194044165299815,0.03935185185185185,0.02252807054266019,0.0,0.0,0.0033692985450156717,0.00031354366072455184,1.920934146236596,0.07815394602090862
feld_4_regime,0.6282407407407409,0.16610492857139553,0.7026970577161289,0.2940427614456569,0.16094889083783498,0.028703014946307167,0.1677292854252054,0.007434447004430126,3.964218803418803,0.41686739485824725,0.05416666666666667,0.027428357858515974,0.0,0.0,0.003334300134533649,0.0003181964596582892,1.805844566479617,0.08661925485810212
feld_glatt,0.6277777777777779,0.157196209076899,0.6945945711925955,0.29457180605785194,0.1752869781892533,0.0343834145942324,0.18762688836665456,0.007711164083974209,3.9890408369408368,0.5173668243945974,0.03981481481481482,0.024406912625152495,0.0,0.0,0.003542589303628164,0.0003399706546193755,2.003359330704504,0.05333689164283402
baseline_ungekoppelt,0.562962962962963,0.20924843114748484,0.5074739452141406,0.22881151249441245,0.2161944940535441,0.04453508820985442,0.1408170306561892,0.020887622334876916,4.3368,0.33748140689525397,0.008796296296296297,0.01424800284075033,0.0,0.0,0.00433513396792378,0.0005945095464227278,2.661798787167586,0.09463713142063836
baseline_linear_rc,0.624074074074074,0.17291261602531272,0.6835669806406918,0.2899343775972197,0.173625567358595,0.03696089260666938,0.060591924381647795,0.0033682778062711564,3.734289106560346,0.23176791167280567,0.3740740740740741,0.055671175983545984,0.0,0.0,0.0033532414180450425,0.0003420043405159736,2.1094069754009492,0.10250550087567953
baseline_digital_diffusion,0.450925925925926,0.07147173152246641,0.35769403611830003,0.08953096623314562,0.13223273321958204,0.028834575458882884,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.9165811965811966,0.1261429018453753
baseline_rohsignal,0.5907407407407407,0.21973538245125523,0.600008865428772,0.26479375444768577,0.1628958862400139,0.031762462500294276,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,1.8631360015947354,0.03059683849559816
