task,seed,noise_sigma,model,accuracy,separability_ratio,repeatability_rmse
kontinuitaet,211,0.15,baseline_ein_zustand,0.9375,1.290714120264824,0.049570784693800454
kontinuitaet,211,0.15,zwei_zustaende_l1.2_s2_a0.5,0.95,1.3258256392826075,0.05356723558485825
kontinuitaet,211,0.35,baseline_ein_zustand,0.9166666666666666,1.1137135345450355,0.04737489607437601
kontinuitaet,211,0.35,zwei_zustaende_l1.2_s2_a0.5,0.9208333333333333,1.0486131279687911,0.048397249343367865
kontinuitaet,211,0.55,baseline_ein_zustand,0.9083333333333333,0.8990130955908268,0.05020756341509421
kontinuitaet,211,0.55,zwei_zustaende_l1.2_s2_a0.5,0.9291666666666667,1.0487428219153374,0.047228484779055696
kontinuitaet,241,0.15,baseline_ein_zustand,0.9583333333333334,1.2861460952171588,0.04441769377337335
kontinuitaet,241,0.15,zwei_zustaende_l1.2_s2_a0.5,0.95,1.626270786081558,0.043924378412721746
kontinuitaet,241,0.35,baseline_ein_zustand,0.9333333333333333,0.9258626840141386,0.04921325688014598
kontinuitaet,241,0.35,zwei_zustaende_l1.2_s2_a0.5,0.9458333333333333,1.0643550540901903,0.0497054863555086
kontinuitaet,241,0.55,baseline_ein_zustand,0.8875,0.8020467897967516,0.04733849180134718
kontinuitaet,241,0.55,zwei_zustaende_l1.2_s2_a0.5,0.8791666666666667,0.7827159183453092,0.04875297545629353
kontinuitaet,277,0.15,baseline_ein_zustand,0.95,1.6730732723544237,0.04503139762130425
kontinuitaet,277,0.15,zwei_zustaende_l1.2_s2_a0.5,0.9583333333333334,1.4499035413854355,0.047249112240931146
kontinuitaet,277,0.35,baseline_ein_zustand,0.9416666666666667,1.084637900979499,0.043772791041591215
kontinuitaet,277,0.35,zwei_zustaende_l1.2_s2_a0.5,0.9458333333333333,1.2004836773304737,0.04399871889653136
kontinuitaet,277,0.55,baseline_ein_zustand,0.85,0.8862099888245913,0.050084329725399314
kontinuitaet,277,0.55,zwei_zustaende_l1.2_s2_a0.5,0.8625,0.8844934303900149,0.04875338296291478
kontinuitaet,313,0.15,baseline_ein_zustand,0.9416666666666667,1.5859617085750977,0.04946220814866422
kontinuitaet,313,0.15,zwei_zustaende_l1.2_s2_a0.5,0.9375,1.3379216004127679,0.05298923977405401
kontinuitaet,313,0.35,baseline_ein_zustand,0.9458333333333333,1.2454581918887018,0.047157764555329815
kontinuitaet,313,0.35,zwei_zustaende_l1.2_s2_a0.5,0.95,1.0854963486252986,0.04794331865747993
kontinuitaet,313,0.55,baseline_ein_zustand,0.8625,0.8842823674705913,0.04516802602829609
kontinuitaet,313,0.55,zwei_zustaende_l1.2_s2_a0.5,0.8916666666666667,0.8276460649712746,0.04600484589798219
kontinuitaet,349,0.15,baseline_ein_zustand,0.9625,1.325698026624085,0.04883641287741866
kontinuitaet,349,0.15,zwei_zustaende_l1.2_s2_a0.5,0.9541666666666667,1.2236716964669898,0.05121497028684485
kontinuitaet,349,0.35,baseline_ein_zustand,0.9625,0.7997680399663858,0.05140568332440085
kontinuitaet,349,0.35,zwei_zustaende_l1.2_s2_a0.5,0.95,0.8015813813050112,0.05066071955040633
kontinuitaet,349,0.55,baseline_ein_zustand,0.9041666666666667,0.6434861450225917,0.048901577268508634
kontinuitaet,349,0.55,zwei_zustaende_l1.2_s2_a0.5,0.8958333333333334,0.6512434537143874,0.048891126200960075
zeitskalen,211,0.15,baseline_ein_zustand,0.4375,0.2580128783166269,0.050466629537764957
