task,seed,noise_sigma,model,accuracy,separability_ratio,repeatability_rmse
zeitskalen,211,0.15,zwei_zustaende_l1.2_s2_a0.5,0.5083333333333333,0.3280591436808138,0.04469319388442484
zeitskalen,211,0.35,baseline_ein_zustand,0.42916666666666664,0.35906952304368295,0.045450886737607006
zeitskalen,211,0.35,zwei_zustaende_l1.2_s2_a0.5,0.42916666666666664,0.43585073622498294,0.04591437708416091
zeitskalen,211,0.55,baseline_ein_zustand,0.4125,0.2850041010267849,0.05064649587872784
zeitskalen,211,0.55,zwei_zustaende_l1.2_s2_a0.5,0.39166666666666666,0.27705916048972884,0.05164380138963343
zeitskalen,241,0.15,baseline_ein_zustand,0.49583333333333335,0.29862431137309037,0.054135186458748846
zeitskalen,241,0.15,zwei_zustaende_l1.2_s2_a0.5,0.525,0.4336971347581431,0.04536816962783364
zeitskalen,241,0.35,baseline_ein_zustand,0.475,0.31869986107158954,0.04609167476845684
zeitskalen,241,0.35,zwei_zustaende_l1.2_s2_a0.5,0.4791666666666667,0.30831486281604675,0.04640272379838743
zeitskalen,241,0.55,baseline_ein_zustand,0.325,0.17126929286357748,0.05303580245400584
zeitskalen,241,0.55,zwei_zustaende_l1.2_s2_a0.5,0.36666666666666664,0.23974049348038362,0.05107571988365373
zeitskalen,277,0.15,baseline_ein_zustand,0.5,0.48983363784799244,0.043091045461839686
zeitskalen,277,0.15,zwei_zustaende_l1.2_s2_a0.5,0.4791666666666667,0.360743490891881,0.043078831084599825
zeitskalen,277,0.35,baseline_ein_zustand,0.5416666666666666,0.39298659297451755,0.04698818105266179
zeitskalen,277,0.35,zwei_zustaende_l1.2_s2_a0.5,0.5208333333333334,0.45350612398355444,0.048724186408238675
zeitskalen,277,0.55,baseline_ein_zustand,0.4,0.4679800025696141,0.049814337739820976
zeitskalen,277,0.55,zwei_zustaende_l1.2_s2_a0.5,0.3541666666666667,0.32206263098038435,0.05282033052283731
zeitskalen,313,0.15,baseline_ein_zustand,0.5416666666666666,0.3486131002511913,0.04346585516561261
zeitskalen,313,0.15,zwei_zustaende_l1.2_s2_a0.5,0.55,0.3354625559837828,0.04349498499266539
zeitskalen,313,0.35,baseline_ein_zustand,0.375,0.23616312844116844,0.052418099451444176
zeitskalen,313,0.35,zwei_zustaende_l1.2_s2_a0.5,0.4583333333333333,0.27972168374158496,0.04849250859504805
zeitskalen,313,0.55,baseline_ein_zustand,0.3333333333333333,0.3042732855096557,0.05270571274153676
zeitskalen,313,0.55,zwei_zustaende_l1.2_s2_a0.5,0.3625,0.2519186197247655,0.05075600235794763
zeitskalen,349,0.15,baseline_ein_zustand,0.4666666666666667,0.31261731481763216,0.054293390262082596
zeitskalen,349,0.15,zwei_zustaende_l1.2_s2_a0.5,0.5333333333333333,0.39727844782636057,0.048301095461047126
zeitskalen,349,0.35,baseline_ein_zustand,0.3875,0.21891196598766333,0.05550156694861729
zeitskalen,349,0.35,zwei_zustaende_l1.2_s2_a0.5,0.42083333333333334,0.23869890652193113,0.05139992715820872
zeitskalen,349,0.55,baseline_ein_zustand,0.37083333333333335,0.22295095931036701,0.05379430442938727
zeitskalen,349,0.55,zwei_zustaende_l1.2_s2_a0.5,0.4083333333333333,0.35325970706596876,0.05160443972877513
